name,stage,amount_raised,current_investors,investment_sector,geography,date,website,Funding Announcment,ctvc_link
Puna Bio,Seed,3700000,Builders VC; At One Ventures; SP Ventures; IndieBio; Grid Exponential; Glocal; AIR Capital,"Food, Agriculture & Forestry",Argentina,05-Sep-22,puna.bio,https://techcrunch.com/2022/09/01/puna-bios-extremophile-microbe-menagerie-survives-and-revives-depleted-soil/?ref=ctvc.co,https://www.ctvc.co//nuclear-option-diablo-plant-extends/
Mermade Seafoods,Seed,3300000,OurCrowd; Fall Line,"Food, Agriculture & Forestry",Israel,05-Sep-22,,https://techcrunch.com/2022/08/29/mermade-seafoods-cell-agriculture-cultivated-scallops/?ref=ctvc.co,https://www.ctvc.co//nuclear-option-diablo-plant-extends/
Cellfion,Seed,1300000,Voima Ventures; LIU Invest; KTH Holding; Klimatet Invest; Almi Invest GreenTech,"Energy, Power & Storage",Sweden,05-Sep-22,cellfion.se,https://www.eu-startups.com/2022/08/swedish-startup-cellfion-lands-new-investment-to-help-fuel-a-sustainable-energy-transition/?ref=ctvc.co,https://www.ctvc.co//nuclear-option-diablo-plant-extends/
Mobile Power,,1200000,All On,"Energy, Power & Storage",Nigeria,05-Sep-22,mobilepowersportsgarage.com,https://techcabal.com/2022/08/31/nigerian-alternative-power-company-mobile-power-limited-raises-1-million-from-all-on-to-scale-its-services/?ref=ctvc.co,https://www.ctvc.co//nuclear-option-diablo-plant-extends/
GreenTrade,Pre-seed,750000,Cerulean Ventures; Flori Ventures; Draft Ventures; Allegory Labs,General Catalyst,Germany,05-Sep-22,greentrade.org.tw,https://www.eu-startups.com/2022/08/berlin-based-greentrade-scores-fresh-funding-to-build-nature-based-carbon-carbon-credits-and-impact-claims-marketplace/?ref=ctvc.co,https://www.ctvc.co//nuclear-option-diablo-plant-extends/
Pixxel,,,Accenture Ventures,General Catalyst,India,05-Sep-22,pixxel.space,https://economictimes.indiatimes.com/tech/information-tech/accenture-invests-in-bengaluru-based-satellite-firm-pixxel/articleshow/93883010.cms?ref=ctvc.co,https://www.ctvc.co//nuclear-option-diablo-plant-extends/
H2 Green Steel,Series B,191000000,Schaeffler Group; GIC; AMF; Altor; Vargas Holding; Swedbank Robur; Marcegaglia; Kingspan; IMAS Foundation; FAM AB,Industrial Processes & Management,Sweden,12-Sep-22,h2greensteel.com,"https://news.cision.com/altor/r/altor-supports-h2-green-steel-on-eur-190-million-funding-round,c3622613?ref=ctvc.co",https://www.ctvc.co//proof-of-eths-climate-stakes/
Battle Motors,Series B,150000000,Undisclosed institutional investor,Transportation & Mobility,"New Philadelphia, OH",12-Sep-22,battlemotors.com,https://www.vcaonline.com/news/news.asp?ID=2022090609&ref=ctvc.co#.YxteFuzMKEt,https://www.ctvc.co//proof-of-eths-climate-stakes/
Lightyear,Undisclosed,82300000,Invest-NL; SHV Holdings; Dela,Transportation & Mobility,Netherlands,12-Sep-22,lightyear.ai,https://techcrunch.com/2022/09/05/solar-powered-carmaker-lightyear-raises-85m-as-it-gears-up-for-production/?ref=ctvc.co,https://www.ctvc.co//proof-of-eths-climate-stakes/
Tesseract,Undisclosed,79900000,Lakestar; Balderton Capital; Ribbit Capital; Lowercarbon Capital; Creandum; BoxGroup; Balderton Capital; Accel,"Energy, Power & Storage",UK,12-Sep-22,tesseract.in,https://siliconcanals.com/crowdfunding/tesseract-raises-78-7m/?ref=ctvc.co,https://www.ctvc.co//proof-of-eths-climate-stakes/
Bridger Photonics,Undisclosed,55000000,Beaverhead Partners; Madison Valley Partners; Carica Sustainable Investments; Next Frontier Capital,"Energy, Power & Storage","Bozeman, MT",12-Sep-22,bridgerphotonics.com,https://www.prnewswire.com/news-releases/montana-based-group-invests-55m-in-home-grown-high-tech-methane-detection-company-bridger-photonics-inc-301616594.html?ref=ctvc.co,https://www.ctvc.co//proof-of-eths-climate-stakes/
Albedo,Series A,48000000,Shield Capital; Breakthrough Energy Ventures; Republic Capital; Initialized Capital; Giant Steps Capital; C16 Ventures,Buildings,"Austin, TX",12-Sep-22,albedofoundation.org,,https://www.ctvc.co//proof-of-eths-climate-stakes/
Taranis,Series D,40000000,Inven Capital; Seraphim Space Investment Trust; Farglory Group; Viola Ventures; Vertex Ventures Israel; UMC Capital; OurCrowd; Micron Ventures; La Maison Partners; K3 Ventures; iAngles Ventures; Finistere Ventures; Hitachi Ventures,"Food, Agriculture & Forestry","Westfield, IN",12-Sep-22,taranis.news,https://www.prnewswire.com/news-releases/taranis-raises-40-million-series-d-to-advance-crop-intelligence-and-unlock-growth-opportunities-for-agribusinesses-301616996.html?ref=ctvc.co,https://www.ctvc.co//proof-of-eths-climate-stakes/
Motatos,Series D,38600000,SEB Private Equity; Northzone; Norrsken VC; LeadX Capital Partners; Gullspand Re:food; EXOR N.V; Edastra Venture Capital; Blume Equity,"Food, Agriculture & Forestry",Denmark,12-Sep-22,motatos.dk,https://sifted.eu/articles/discounted-groceries-startup-motatos-raises-e38m-series-c/?ref=ctvc.co,https://www.ctvc.co//proof-of-eths-climate-stakes/
Bond Pet Foods,Series A,17500000,Genoa Ventures; ADM Ventures; Cavallo Ventures; Lever VC; Thia Ventures; iSelect Fund; Stage 1 Fund; Lifely VC; Satori Capital,"Food, Agriculture & Forestry","Boulder, CO",12-Sep-22,bondpets.com,https://techcrunch.com/2022/09/07/bond-pet-foods-meat-proteins/?tpcc=tcplustwitter&ref=ctvc.co,https://www.ctvc.co//proof-of-eths-climate-stakes/
Circuit,Series A,11000000,Tribeca Venture Partners; Citi Impact Fund; Impact Engine; Groundswell Ventures; Gaingels; Los Angeles Cleantech Incubator (LACI) Impact Fund; Forefront Venture Partners,Transportation & Mobility,UK,12-Sep-22,circuitdigest.com,https://www.prnewswire.com/news-releases/circuit-raises-11m-series-a-to-expand-ev-shuttle-business-301619296.html?ref=ctvc.co,https://www.ctvc.co//proof-of-eths-climate-stakes/
ChainCraft,Series C,11100000,Convent Capital; SHIFT Invest; PDENH; Horizon 3,"Waste, Plastic & Recycling",Netherlands,12-Sep-22,chaincraft.com,https://siliconcanals.com/crowdfunding/chaincraft-raises-11m/?ref=ctvc.co,https://www.ctvc.co//proof-of-eths-climate-stakes/
Alcemy,Series A,10000000,Galvanize Climate Solutions; AENU; BitStone Capital; MOMENI Ventures; E.R. Capital Holding; Tobias Nendel; Flixbus founders; EF; La Famiglia; Firstminute Capital; LocalGlobe,Industrial Processes & Management,Germany,12-Sep-22,alcemy.tech,https://siliconcanals.com/news/startups/german-alcemy-picks-up-10m/?ref=ctvc.co,https://www.ctvc.co//proof-of-eths-climate-stakes/
BioBetter,Series A,10000000,JVP; Milk and Honey Investments; Israeli Innovation Authority,"Food, Agriculture & Forestry",Israel,12-Sep-22,biobetter.io,https://www.prnewswire.com/news-releases/biobetter-lands-usd10m-funding-to-relieve-cultivated-meats-bottleneck-using-tobacco-plants-301619117.html?ref=ctvc.co,https://www.ctvc.co//proof-of-eths-climate-stakes/
Trojan Energy,Undisclosed,9100000,Scottish National Investment Bank,"Energy, Power & Storage",UK,12-Sep-22,trojan.energy,https://www.insider.co.uk/news/scottish-national-investment-bank-becomes-27909427?ref=ctvc.co,https://www.ctvc.co//proof-of-eths-climate-stakes/
Flair,Series A,7600000,Active Impact Investments; Lowercarbon Capital; SOSV; Skyview; Resilience Capital Partners; Shell Ventures; Susquehanna Foundation; 3M Ventures,Buildings,"San Francisco, CA",12-Sep-22,flyflair.com,https://techcrunch.com/2022/09/07/smart-vent-startup-flair-nabs-7-6m-series-a-to-decarbonize-buildings/?ref=ctvc.co,https://www.ctvc.co//proof-of-eths-climate-stakes/
Klim,Seed,6600000,Green Generation Fund; Wi Ventures; Ponderosa Ventures; FoodLabs; Edaphon; Ananda Impact Ventures; AgFunder,"Food, Agriculture & Forestry",Germany,12-Sep-22,klim.co.nz,https://techcrunch.com/2022/09/08/klim-seed/?tpcc=tcplustwitter&ref=ctvc.co,https://www.ctvc.co//proof-of-eths-climate-stakes/
Odyssey Energy Solutions,Undisclosed,5300000,Equal Ventures; Twelve Below; Abstract Ventures; Founder Collective; MCJ Collective,"Energy, Power & Storage","Boulder, CO",12-Sep-22,odysseyenergysolutions.com,https://techcrunch.com/2022/09/08/odyssey-energy-solutions-continues-quest-to-electrify-developing-economies-with-5-4m-seed/?ref=ctvc.co,https://www.ctvc.co//proof-of-eths-climate-stakes/
Ceezer,Undisclosed,4300000,Carbon Removal Partners; Norrsken VC; Picus Capital,"Energy, Power & Storage",Germany,12-Sep-22,ceezer.earth,https://techfundingnews.com/ceezer-lands-e4-2m-to-help-oraganisations-with-complex-voluntary-carbon-market/?ref=ctvc.co,https://www.ctvc.co//proof-of-eths-climate-stakes/
Tozero,Pre-seed,3500000,Atlantic Labs; Verve Ventures; Possible Ventures,"Waste, Plastic & Recycling",Germany,12-Sep-22,to-zero.jp,https://tech.eu/2022/09/07/munichs-climate-tech-startup-tozero-charges-with-eur35-million-to-recycle-lithium-ion-batteries/?ref=ctvc.co,https://www.ctvc.co//proof-of-eths-climate-stakes/
EnviroSpark,Series A,,Ultra Capital,Transportation & Mobility,"Atlanta, GA",12-Sep-22,envirosparkenergy.com,http://raised/?ref=ctvc.co,https://www.ctvc.co//proof-of-eths-climate-stakes/
Natron Energy,Undisclosed,,Liberty Energy Inc.,"Energy, Power & Storage","Santa Clara, CA",12-Sep-22,natron.energy,,https://www.ctvc.co//proof-of-eths-climate-stakes/
Harbinger,Seed,,Tiger Global Management,Transportation & Mobility,"Los Angeles, CA",12-Sep-22,harbingergroup.com,https://www.cnbc.com/2022/09/07/harbinger-ev-startup-medium-trucks-naias-2022.html?ref=ctvc.co,https://www.ctvc.co//proof-of-eths-climate-stakes/
Imperfect Foods,Acquisition,,Misfits Market,"Food, Agriculture & Forestry","San Francisco, CA",12-Sep-22,imperfectfoods.com,https://www.forbes.com/sites/oliviapeluso/2022/09/07/online-grocer-misfits-market-announces-plans-to-acquire-competitor-imperfect-foods/?sh=1ef2a95a0209&ref=ctvc.co,https://www.ctvc.co//proof-of-eths-climate-stakes/
TeraWatt Infrastructure,Series A,1000000000,Vision Ridge Capital Partners; Keyframe Capital Partners; Cyrus Capital Partners,Transportation & Mobility,"San Francisco, CA",19-Sep-22,terawattinfrastructure.com,https://techcrunch.com/2022/09/13/ex-googlers-terawatt-raises-1b-to-expand-commercial-ev-charging/?ref=ctvc.co,https://www.ctvc.co//patagonia-goes-all-purpose/
Gotham Greens,Series E,310000000,BMO Capital Markets; Ares Management; Silverman Group; Rock Creek; Manna Tree; Kimco Realty; Common Fund,"Food, Agriculture & Forestry","Brooklyn, NY",19-Sep-22,gothamgreens.com,https://techcrunch.com/2022/09/12/gotham-greens-just-raised-310m-to-expand-its-greenhouses-nationwide/?ref=ctvc.co,https://www.ctvc.co//patagonia-goes-all-purpose/
Yulu,Series B,82000000,Magna International; Bajaj Auto Finance,Transportation & Mobility,India,19-Sep-22,yulu.bike,https://economictimes.indiatimes.com/tech/funding/ev-startup-yulu-raises-82-million-in-funding-led-by-magna-international/articleshow/94142892.cms?from=mdr&ref=ctvc.co,https://www.ctvc.co//patagonia-goes-all-purpose/
Planted,Series B,73000000,L Catterton; Vorwerk Ventures; TEV Ventures; Movendo Capital; Gullspang Re:food; ETH Zurich Foundation; BE8 Ventures; Ace & Company,"Food, Agriculture & Forestry",Switzerland,19-Sep-22,thegiftedgabber.com,https://www.prnewswire.com/news-releases/planted-closes-series-b-financing-round-of-chf-70-million-301616665.html?ref=ctvc.co,https://www.ctvc.co//patagonia-goes-all-purpose/
PearlX,Series B,70000000,Lombard Odier,"Energy, Power & Storage","Charlottesville, VA",19-Sep-22,pearlxstudio.com,https://techcrunch.com/2022/09/14/multifamily-housing-has-missed-the-solar-boom-pearlx-wants-to-fix-that-with-70m-series-b/?tpcc=tcplustwitter&ref=ctvc.co,https://www.ctvc.co//patagonia-goes-all-purpose/
Patch,Series B,55000000,Energize Ventures; B Capital Group; AENU; Blue Impact; GIC; MCJ Collective; Coatue Management; Version One Ventures; Andreessen Horowitz,"Buildings; Energy, Power & Storage; Waste, Plastic & Recycling","San Francisco, CA",19-Sep-22,patch.com,https://www.prnewswire.com/news-releases/planted-closes-series-b-financing-round-of-chf-70-million-301616665.html?ref=ctvc.co,https://www.ctvc.co//patagonia-goes-all-purpose/
Ethic,Series C,50000000,Jordan Park; Urban Innovation Fund; UBS; SOund Ventures; Oak HC; Nyca Partners; Kapor capital,General Catalyst,"New York, NY",19-Sep-22,ethicspoint.com,https://www.prweb.com/releases/fintech_platform_ethic_raises_50_million_in_series_c_funding/prweb18894184.htm?ref=ctvc.co,https://www.ctvc.co//patagonia-goes-all-purpose/
Ascend Elements,,50000000,SK Ecoplant,"Energy, Power & Storage","Westborough, MA",19-Sep-22,ascendelements.com,https://www.prnewswire.com/news-releases/sk-ecoplant-invests-50-million-in-ascend-elements-301616065.html?ref=ctvc.co,https://www.ctvc.co//patagonia-goes-all-purpose/
Quantron,Series A,50000000,Neuman & Esser; Ballard Power Systems,Transportation & Mobility,Germany,19-Sep-22,quantron.mx,https://www.prnewswire.com/news-releases/neuman--esser-and-ballard-invest-in-quantron-and-establish-a-hydrogen-alliance-for-a-360-h2-ecosystem-301624028.html?ref=ctvc.co,https://www.ctvc.co//patagonia-goes-all-purpose/
Prolific Machines,Series A,42000000,Breakthrough Energy Ventures,"Food, Agriculture & Forestry","San Francisco, CA",19-Sep-22,prolific-machines.com,https://techcrunch.com/2022/09/14/prolific-machines-cultured-meat-cell-growth/?ref=ctvc.co,https://www.ctvc.co//patagonia-goes-all-purpose/
Kojo,Series C,39000000,Battery Ventures; Schneider Electric; RXR Realty; Bienville Capital; 8VC; Suffolk Construction; Human Capital; AME Cloud Ventures; Nine Four Ventures; BoxGroup,Industrial Processes & Management,"San Francisco, CA",19-Sep-22,usekojo.com,https://techcrunch.com/2022/09/14/construction-tech-kojo-materials-management-supply-chain/?ref=ctvc.co,https://www.ctvc.co//patagonia-goes-all-purpose/
Iontra,Series B,38000000,Volta Energy Technologies; Flag Group,"Energy, Power & Storage","Denver, CO",19-Sep-22,iontrading.com,https://www.prnewswire.com/news-releases/iontra-raises-38m-series-b-to-advance-revolutionary-battery-charging-and-development-platform-301623476.html?ref=ctvc.co,https://www.ctvc.co//patagonia-goes-all-purpose/
ZwitterCo,Series A,33000000,DCVC; R-Cubed Capital Partners; Mott Corporation; MANN + HUMMEL; Heritage Group; Genova Ventures; Burnt Island Ventures,"Waste, Plastic & Recycling","Woburn, MA",19-Sep-22,zwitterco.com,https://www.finsmes.com/2022/09/zwitterco-raises-usd33m-in-series-a-funding.html?ref=ctvc.co,https://www.ctvc.co//patagonia-goes-all-purpose/
Monta,Series A,30000000,Energize Ventures; Pale Blue Dot; Headline; Creandum; AENU; byFounders,Transportation & Mobility,Denmark,19-Sep-22,montana.edu,https://techcrunch.com/2022/09/14/ev-charging-platform-monta-raises-at-155m-valuation-to-expand-into-the-us/?ref=ctvc.co,https://www.ctvc.co//patagonia-goes-all-purpose/
Aqua-Yield,Series A,23000000,Larry H. Miller Management Corporation; JH Partners; Penny Newman Grain,"Food, Agriculture & Forestry","Draper, UT",19-Sep-22,aquayield.com,https://www.prnewswire.com/news-releases/aqua-yield-announces-23-million-series-a-funding-round-301623269.html?ref=ctvc.co,https://www.ctvc.co//patagonia-goes-all-purpose/
Applied EV,,21000000,Suzuki Motor Corporation,Transportation & Mobility,Australia,19-Sep-22,appliedev.com,https://www.startupdaily.net/topic/funding/suzuki-drives-21-million-raise-for-electric-vehicle-software-startup-applied-ev/?ref=ctvc.co,https://www.ctvc.co//patagonia-goes-all-purpose/
Next Level Burger,,20000000,,"Food, Agriculture & Forestry","Bend, OR",19-Sep-22,nextlevelburger.com,https://www.businesswire.com/news/home/20220913005568/en/Next-Level-Burger-Raises-20M-to-Fuel-the-Future-of-Plant-Based-Restaurants?ref=ctvc.co,https://www.ctvc.co//patagonia-goes-all-purpose/
Ideon Technologies,Series A,16000000,Playground Global,Industrial Processes & Management,Canada,19-Sep-22,ideon.ai,https://www.finsmes.com/2022/09/ideon-technologies-raises-us16m-in-series-a-funding.html?ref=ctvc.co,https://www.ctvc.co//patagonia-goes-all-purpose/
SunRoof,,15000000,Alantra; SMOK Ventures; Level2 Ventures; Jon Olsson; Inovo Venture Partners; Alfabeat,"Energy, Power & Storage",Sweden,19-Sep-22,sunroof.se,https://siliconcanals.com/crowdfunding/sunroof-raises-15m/?ref=ctvc.co,https://www.ctvc.co//patagonia-goes-all-purpose/
Standing Ovation,Series A,12000000,Astanor Ventures; Peakbridge; Seventure Partners; Big Idea Ventures; Good Startup,"Food, Agriculture & Forestry",France,19-Sep-22,standingovationmovie.com,https://techcrunch.com/2022/09/14/french-foodtech-standing-ovation-nabs-12-million-for-animal-free-dairy-cheese/?utm_source=dlvr.it&utm_medium=twitter,https://www.ctvc.co//patagonia-goes-all-purpose/
Leoparda Electric,,8500000,Monashees; Construct Capital; Claure Capital; Auteco; K50 Ventures; Climate Capital,Transportation & Mobility,Brazil,19-Sep-22,,https://www.autoindustria.com.br/2022/09/14/leoparda-electric-receives-us-8-5-million-to-operate-in-the-region/?ref=ctvc.co,https://www.ctvc.co//patagonia-goes-all-purpose/
BetterSeeds,Seed,7000000,JITO Angel Network,"Food, Agriculture & Forestry",Israel,19-Sep-22,betterseeds.com,"https://www.entrepreneur.com/en-in/news-and-trends/jito-angel-network-invests-7mn-in-betterseeds/434841?ref=ctvc.co#:~:text=JITO%20Angel%20Network%20(JAN)%2C,global%20venture%20investing%20platform%20OurCrowd.",https://www.ctvc.co//patagonia-goes-all-purpose/
Transaera,Seed,4500000,Energy Impact Partners; Carrier Ventures; Saint Gobain; MassCEC,"Buildings; Energy, Power & Storage; Waste, Plastic & Recycling","Somerville, MA",19-Sep-22,transaera.com,https://www.bostonglobe.com/2022/08/14/business/somerville-startup-has-cool-take-air-conditioning/?ref=ctvc.co,https://www.ctvc.co//patagonia-goes-all-purpose/
Lleaf,,3500000,Alfa Ventures; 2 degrees; Cicada Innovations; University of New South Wales,"Buildings; Energy, Power & Storage; Waste, Plastic & Recycling",Australia,19-Sep-22,lleaf.com,https://www.startupdaily.net/topic/funding/agtech-startup-lleaf-raises-3-5-million-to-grow-better-plants/?ref=ctvc.co,https://www.ctvc.co//patagonia-goes-all-purpose/
Arbonics,Pre-seed,1800000,Plural Platform,General Catalyst,Estonia,19-Sep-22,arbonics.com,https://techcrunch.com/2022/09/15/could-the-forests-and-land-of-europe-offset-most-of-its-co2-this-startup-hopes-to-prove-it/?ref=ctvc.co,https://www.ctvc.co//patagonia-goes-all-purpose/
NeoCarbon,Pre-seed,1250000,PropTech1; Speedinvest; Antler,Other: CCUS,Germany,19-Sep-22,neocarbon.tech,https://techcrunch.com/2022/09/14/neocarbon-pre-seed/?ref=ctvc.co,https://www.ctvc.co//patagonia-goes-all-purpose/
Innovafeed,Series D,250000000,Qatar Investment Authority; ADM; Cargill; Future French Champions; ABC Impact; IDIA Capital Investissement; Grow Forward; Creadev; Temasek,"Food, Agriculture & Forestry",France,26-Sep-22,innovafeed.com,https://techcrunch.com/2022/09/20/innovafeed-nabs-250m-to-extend-its-vertical-insect-farms-to-the-u-s/?ref=ctvc.co,https://www.ctvc.co//salesforcing-voluntary-carbon-credits/
Mainspring Energy,Series E,140000000,Lightrock; CPP Investments; Shell Ventures; Hanwha Power Systems; Khosla Ventures; Bill Gates; Fine Structure Ventures; Princeville Capital,"Energy, Power & Storage","Menlo Park, CA",26-Sep-22,mainspringenergy.com,https://www.prnewswire.com/news-releases/mainspring-closes-series-e-at-290-million-301626840.html?ref=ctvc.co,https://www.ctvc.co//salesforcing-voluntary-carbon-credits/
Ojjo,Series C,40000000,NGP Energy Capital Management; Ajax Strategies,"Energy, Power & Storage","San Rafael, CA",26-Sep-22,ojjo.com,https://www.prnewswire.com/news-releases/ojjo-secures-40-million-series-c-funding-round-to-scale-next-generation-solar-foundations-301627998.html?ref=ctvc.co,https://www.ctvc.co//salesforcing-voluntary-carbon-credits/
4M Analytics,Series A,30000000,Insight Partners; ITI Venture Capital; Viola Ventures; F2 Venture Capital,Industrial Processes & Management,Israel,26-Sep-22,4manalytics.com,https://siliconangle.com/2022/09/20/4m-analytics-raises-30m-map-u-s-s-underground-utility-infrastructure/?utm_campaign=%5Bcampaign_name%5D&utm_medium=email&utm_source=Sailthru&utm_term=Keep%20Cool,https://www.ctvc.co//salesforcing-voluntary-carbon-credits/
Ioniqa Technologies,,29000000,Koch Separation Solutions,"Waste, Plastic & Recycling",Netherlands,26-Sep-22,,https://siliconcanals.com/news/ioniqa-koch-technology-solutions-deal/?ref=ctvc.co,https://www.ctvc.co//salesforcing-voluntary-carbon-credits/
Pano AI,Series A,20000000,Initialized Capital; Congruent Ventures; Convective Capital; DCVC; January Ventures; Quiet Capital,General Catalyst,"San Francisco, CA",26-Sep-22,pano.ai,https://techcrunch.com/2022/09/19/pano-ai/?utm_campaign=%5Bcampaign_name%5D&utm_medium=email&utm_source=Sailthru&utm_term=Keep%20Cool,https://www.ctvc.co//salesforcing-voluntary-carbon-credits/
Yard Stick,Grant,18000000,USDA'a Partnerships for Climate-Smart Commodities initiative,Other,"Cambridge, MA",26-Sep-22,useyardstick.com,https://www.businesswire.com/news/home/20220921005377/en/Yard-Stick-and-Partners-Secure-225M-in-USDA-Grants-for-Climate-Smart-Agriculture?ref=ctvc.co,https://www.ctvc.co//salesforcing-voluntary-carbon-credits/
Datamaran,Series B,12700000,Fortive; American Electric Power,Other,England,26-Sep-22,datamaran.com,https://www.prnewswire.com/news-releases/datamaran-secures-11-7-million-series-b-investment-to-deliver-on-rising-demand-for-strategic-esg-insight-301627408.html?ref=ctvc.co,https://www.ctvc.co//salesforcing-voluntary-carbon-credits/
Enact Systems,Series A,11500000,Energy Growth Momentum; Olympus Capital Holdings Asia; NB Ventures; Arka Venture Labs; Alumni Ventures,"Energy, Power & Storage","Pleasanton, CA",26-Sep-22,enact.solar,https://techcrunch.com/2022/09/20/enact-systems-connects-solar-installers-and-customers-for-more-efficient-energy-use/?ref=ctvc.co,https://www.ctvc.co//salesforcing-voluntary-carbon-credits/
CIM,Series A,6500000,Five V Capital,Buildings,Ireland,26-Sep-22,cimri.com,https://www.irishexaminer.com/business/companies/arid-40965551.html?ref=ctvc.co,https://www.ctvc.co//salesforcing-voluntary-carbon-credits/
Trapview,Series B,9700000,European Circular Bioeconomy Fund; Pymwymic; Demeter,"Food, Agriculture & Forestry",Slovenia,26-Sep-22,trapview.co,https://tech.eu/2022/09/20/by-reducing-pesticides-trapview-traps-eur10-million-to-speed-up-transition-to-more-sustainable-farming-practices?ref=ctvc.co,https://www.ctvc.co//salesforcing-voluntary-carbon-credits/
Exasun,,8700000,Wienerberger Ag; No Such Ventures; Invest-NL; ENERGIIQ; Dockpoint; ABN AMRO Fund,"Energy, Power & Storage",Netherlands,26-Sep-22,exasun.com,https://siliconcanals.com/crowdfunding/exasun-raises-9m/?ref=ctvc.co,https://www.ctvc.co//salesforcing-voluntary-carbon-credits/
Sylvatex,Series AQ,8400000,Catalus Capital; Amplify Capital; How Women Invest,"Energy, Power & Storage","Alameda, CA",26-Sep-22,sylvatex.com,https://www.businesswire.com/news/home/20220920005486/en/Low-Cost-and-More-Sustainable-Battery-Production-for-Electric-Vehicles-and-Grid-Storage-Enabled-by-Sylvatex%E2%80%99s-Advanced-New-Cathode-Manufacturing-Process?ref=ctvc.co,https://www.ctvc.co//salesforcing-voluntary-carbon-credits/
Sweetch Energy,Seed,5800000,EDF Renewable Energy; Compagnie Nationale du Rhône; Go Capital; Future Positive Capital; Demeter,"Energy, Power & Storage",France,26-Sep-22,sweetch.energy,https://www.eu-startups.com/2022/09/french-climatetech-sweetch-energy-scores-e6-million-to-produce-electricity-from-salt-water/?ref=ctvc.co,https://www.ctvc.co//salesforcing-voluntary-carbon-credits/
Future,Seed,5300000,Urban Impact Ventures; Techstars Ventures; Climate Capital; Active Impact Investments; Accomplice,General Catalyst,"Silver Spring, MD",26-Sep-22,futurelearn.com,https://www.prnewswire.com/news-releases/future-secures-5-3m-seed-investment-to-pay-you-to-fight-climate-change-301629693.html?ref=ctvc.co,https://www.ctvc.co//salesforcing-voluntary-carbon-credits/
Transaera,Seed,4500000,Energy Impact Partners; Saint-Goblin; Massachusetts Clean Energy Center; Carrier Ventures,"Energy, Power & Storage","Somerville, MA",26-Sep-22,transaera.com,https://www.vcaonline.com/news/news.asp?ID=2022091512&ref=ctvc.co#.YyfW5HZBxPY,https://www.ctvc.co//salesforcing-voluntary-carbon-credits/
AICrete,Seed,4000000,CLEAR Ventures; VoLo Earth Ventures,Industrial Processes & Management,"Richmond, CA",26-Sep-22,aicrete.com,https://www.prnewswire.com/news-releases/sustainable-and-ai-concrete-startup-aicrete-announces-4-million-seed-funding-301629768.html?ref=ctvc.co,https://www.ctvc.co//salesforcing-voluntary-carbon-credits/
Flyscan,Seed,3500000,Hatch; BDC Capital; Enbridge,"Energy, Power & Storage","Quebec, Canada",26-Sep-22,flyscan.com,https://www.finsmes.com/2022/09/flyscan-systems-closes-usd3-5m-in-pre-series-a-funding.html?ref=ctvc.co,https://www.ctvc.co//salesforcing-voluntary-carbon-credits/
ExerGo,Seed,3200000,Baker Hughes; EREN Groupe,"Energy, Power & Storage",Switzerland,26-Sep-22,exergonchem.com,https://exergo.ch/pressrelease/seed-financing-from-baker-hughes-and-eren-groupe/?ref=ctvc.co,https://www.ctvc.co//salesforcing-voluntary-carbon-credits/
RenewCO2,Seed,2000000,Energy Transition Ventures,"Energy, Power & Storage","Cranford, NJ",26-Sep-22,21renew.com,https://www.prnewswire.com/news-releases/co2-to-chemicals-startup-renewco2-spins-out-of-rutgers-university-with-seed-round-from-energy-transition-ventures-301627807.html?ref=ctvc.co,https://www.ctvc.co//salesforcing-voluntary-carbon-credits/
EcoLocked,Seed,1700000,Counteract; SFO; Better Ventures,Buildings,Germany,26-Sep-22,ecolocked.com,https://www.businessinsider.com/ecolocked-raised-18-carbon-sequestered-concrete-designs-pitch-deck-2022-9?r=US&IR=T&ref=ctvc.co,https://www.ctvc.co//salesforcing-voluntary-carbon-credits/
Esmito,Seed,1200000,Unicorn India Ventures,"Energy, Power & Storage",India,26-Sep-22,esmito.com,https://www.mobilityoutlook.com/news/esmito-raises-inr-10-cr-seed-round-to-expand-battery-swap-solutions/?ref=ctvc.co,https://www.ctvc.co//salesforcing-voluntary-carbon-credits/
Lithion Recycling,Series A,,GM Ventures,"Energy, Power & Storage","Montreal, CA",26-Sep-22,lithiontechnologies.com,https://www.prnewswire.com/news-releases/gm-and-lithion-announce-an-investment-and-strategic-partnership-agreement-to-pursue-a-circular-ev-battery-ecosystem-301630648.html?ref=ctvc.co,https://www.ctvc.co//salesforcing-voluntary-carbon-credits/
Trace Midstream,Undisclosed,400000000,Quantum Energy Partners,"Energy, Power & Storage","Houston, TX",03-Oct-22,tracemidstream.com,https://www.businesswire.com/news/home/20220927005437/en/Trace-Midstream-II-Backed-by-Quantum-Energy-Partners-Formed-to-Pursue-Carbon-Capture-and-Sequestration-Opportunities-in-North-America?ref=ctvc.co,https://www.ctvc.co//signaling-more-climate-peril/
Zero Motorcycles,Undisclosed,107000000,Polaris; Exor; Hero MotoCorp; Invus; other investors,Transportation & Mobility,"Scotts Valley, CA",03-Oct-22,zeromotorcycles.com,https://www.businesswire.com/news/home/20220929005328/en/Zero-Motorcycles-Announces-the-Closing-of-a-New-107-Million-Round-of-Financing?ref=ctvc.co,https://www.ctvc.co//signaling-more-climate-peril/
